"Item Title","Order Status","Shipped to State","Shipped from State","Item Price","Buyer Shipping Fee","Seller Shipping Fee","Mercari Selling Fee","Payment Processing Fee Charged To Seller","Shipping Adjustment Fee","Net Seller Proceeds","Sales Tax Charged to Buyer","Merchant Fees Charged to Buyer","Service Fee Charged to Buyer","Buyer Protection Charged to Buyer","Payment Processing Fee Charged to Buyer"
"BTS x Line Friends - BT21 RJ Minini Summer Mini Doll Plush","Completed","Maryland","New York","23.75","4.99","0.00","2.37","1.33","0.00","20.05","1.43","0.00","0.00","0.00","0.00"
"Sonny Angel - Animal Hipper (Lion)","Completed","North Carolina","New York","17.00","4.30","0.00","1.70","1.12","0.00","14.18","1.54","0.00","0.00","0.00","0.00"
"Sonny Angel - Animal Hipper (Elephant)","Completed","Arizona","New York","13.00","4.30","0.00","1.30","1.00","0.00","10.70","1.05","0.00","0.00","0.00","0.00"
"Sonny Angel - Birthday Cake (Purple)","Completed","California","New York","15.00","4.99","0.00","1.50","1.08","0.00","12.42","1.37","0.00","0.00","0.00","0.00"
"Stüssy Sherpa Paisley Hoodie Jacket","Completed","California","New York","139.00","9.50","0.00","13.90","4.81","0.00","120.29","13.21","0.00","0.00","0.00","0.00"
"Sonny Angel Japanese Good Luck (Lucky Cat)","Completed","Ohio","New York","35.00","4.30","0.00","3.50","1.64","0.00","29.86","3.07","0.00","0.00","0.00","0.00"
"Sonny Angel “Hug Me” Plush Bear (White)","Completed","Texas","New York","120.00","17.25","0.00","12.00","4.48","0.00","103.52","11.32","0.00","0.00","0.00","0.00"
"NCT 127 Sticker (Sticky Ver) Jaehyun set","Completed","California","New York","17.00","7.40","0.00","1.70","1.21","0.00","14.09","1.40","0.00","0.00","0.00","0.00"
"Popmart Hacipupu: Celebration Series Bundle","Completed","California","New York","15.00","6.99","0.00","1.50","1.14","0.00","12.36","1.16","0.00","0.00","0.00","0.00"
"Smiski - Hide and Seek Plush Pin Badge","Completed","New York","New York","40.60","4.99","0.00","4.06","1.82","0.00","34.72","3.93","0.00","0.00","0.00","0.00"
"Pop Mart - Pino Jelly 200% - Honey Paradise","Completed","Kentucky","New York","150.00","10.99","0.00","15.00","5.17","0.00","129.83","9.66","0.00","0.00","0.00","0.00"
"Sonny Angel Japanese Good Luck (Lucky Cat)","Completed","Minnesota","New York","35.00","3.99","0.00","3.50","1.63","0.00","29.87","3.46","0.00","0.00","0.00","0.00"
"Sonny Angel - Animal (Giraffe Bundle)","Completed","Texas","New York","26.00","4.99","0.00","2.60","1.40","0.00","22.00","2.56","0.00","0.00","0.00","0.00"
"Sonny Angel - Old Vegetable Series (Japanese Ginger)","Completed","California","New York","21.00","4.30","0.00","2.10","1.23","0.00","17.67","1.97","0.00","0.00","0.00","0.00"
"NCT 2020 Resonance Pt2 Collect Book","Completed","Illinois","New York","9.00","7.40","0.00","0.90","0.98","0.00","7.12","1.68","0.00","0.00","0.00","0.00"
"Sonny Angel - Animal Hipper (Mouse)","Completed","California","New York","17.00","4.30","0.00","1.70","1.12","0.00","14.18","1.49","0.00","0.00","0.00","0.00"
ONE (Sealed) Sonny Angel Japanese Good Luck Series","Completed","California","New York","20.00","3.99","0.00","2.00","1.20","0.00","16.80","1.55","0.00","0.00","0.00","0.00"
"thisisneverthat crewneck hoodie","Completed","Texas","New York","20.00","7.99","0.00","2.00","1.31","0.00","16.69","2.31","0.00","0.00","0.00","0.00"
"BT21 CHIMMY NON-SLIP SMALL RUG COZY HOMEY","Completed","Pennsylvania","New York","35.00","7.99","0.00","3.50","1.75","0.00","29.75","3.01","0.00","0.00","0.00","0.00"
Sonny Angel Limited Edition Qixi Festival Set Gift Box with Robby","Completed","Texas","New York","61.99","6.99","0.00","6.19","2.50","0.00","53.30","5.69","0.00","0.00","0.00","0.00"
"Sonny Angel Japanese Good Luck Series (Bundle)","Completed","Arizona","New York","68.40","6.99","0.00","6.84","2.69","0.00","58.87","5.20","0.00","0.00","0.00","0.00"
"m47955846734","2024-02-18","","2024-02-23","Sonny Angel Japanese Good Luck (Daruma)","Completed","Massachusetts","New York","16.00","3.99","0.00","1.60","1.08","0.00","13.32","1.00","0.00","0.00","0.00","0.00"
"m16708650528","2024-02-04","","2024-02-23","Sonny Angel Japanese Good Luck (Daruma)","Completed","Hawaii","New York","16.00","4.30","0.00","1.60","1.09","0.00","13.31","0.91","0.00","0.00","0.00","0.00"
"m28001306594","2024-02-20","","2024-02-23","Sonny Angel Gifts of Love (Lop Ear Bunny Bundle)","Completed","Michigan","New York","45.00","4.99","0.00","4.50","1.95","0.00","38.55","2.70","0.00","0.00","0.00","0.00"
"m24389512598","2024-02-06","","2024-02-23","Sonny Angel Japanese Good Luck (Mount Fuji)","Completed","Nevada","New York","16.15","3.99","0.00","1.61","1.08","0.00","13.46","1.35","0.00","0.00","0.00","0.00"
"m66259346535","2024-02-15","","2024-02-26","Sonny Angel - Old Vegetable Series (Carrot)","Completed","Massachusetts","New York","14.00","3.99","0.00","1.40","1.02","0.00","11.58","0.88","0.00","0.00","0.00","0.00"
"m24165183516","2024-02-20","","2024-02-27","Sonny Angel Gifts of Love (Lop Ear Bunny Bundle)","Completed","New York","New York","45.00","4.99","0.00","4.50","1.95","0.00","38.55","4.44","0.00","0.00","0.00","0.00"
"m34371226216","2024-02-21","","2024-02-27","Sonny Angel Cherry Blossom Sakura Peaceful Spring - Peacock","Completed","Texas","New York","17.15","3.99","0.00","1.71","1.11","0.00","14.33","1.74","0.00","0.00","0.00","0.00"
"m76774227906","2024-02-22","","2024-02-29","Sonny Angel - Animal Hipper (Rabbit)","Completed","North Carolina","New York","39.99","3.99","0.00","3.99","1.78","0.00","34.22","3.19","0.00","0.00","0.00","0.00"
"m22125732783","2024-02-26","","2024-03-04","ONE (Sealed) Sonny Angel Japanese Good Luck Series","Completed","California","New York","21.00","3.99","0.00","2.10","1.22","0.00","17.68","1.97","0.00","0.00","0.00","0.00"
"m88274102426","2024-02-22","","2024-03-06","Sonny Angel - Animal Hipper (Elephant)","Completed","Washington","New York","14.99","3.99","0.00","1.49","1.05","0.00","12.45","1.92","0.00","0.00","0.00","0.00"
"m35573387448","2024-03-01","","2024-03-12","Sonny Angel Japanese Good Luck (Guardian Dog)","Completed","Texas","New York","15.30","3.99","0.00","1.53","1.06","0.00","12.71","1.59","0.00","0.00","0.00","0.00"
"m67442953643","2024-03-02","","2024-03-12","Sonny Angel Cherry Blossom Sakura Peaceful Spring - Secret Cherry","Completed","California","New York","75.00","3.99","0.00","7.50","2.79","0.00","64.71","6.84","0.00","0.00","0.00","0.00"
"m31401597146","2024-03-03","","2024-03-12","Sonny Angel Limited Edition Qixi Festival Set Gift Box with Robby","Completed","Massachusetts","New York","65.99","6.99","0.00","6.59","2.62","0.00","56.78","4.12","0.00","0.00","0.00","0.00"
"m39216618200","2024-02-28","","2024-03-12","POPMART Pucky - What Are The Fairies Doing? (Full Set)","Completed","California","New York","120.00","7.99","0.00","12.00","4.21","0.00","103.79","11.40","0.00","0.00","0.00","0.00"
"m88224469501","2024-03-01","","2024-03-12","NCT x Sanrio JAEHYUN T-shirt w/ Photo Tag (M)","Completed","California","New York","37.99","6.99","0.00","3.79","1.80","0.00","32.40","2.94","0.00","0.00","0.00","0.00"
"m94272030311","2024-03-08","","2024-03-18","Sonny Angel Cherry Blossom Sakura Peaceful Spring - Peacock","Completed","New Jersey","New York","18.50","3.99","0.00","1.85","1.15","0.00","15.50","1.49","0.00","0.00","0.00","0.00"
"m22164702345","2024-03-11","","2024-03-19","NCT 127 Nature Republic Doyoung set","Completed","Texas","New York","29.00","6.99","0.00","2.90","1.54","0.00","24.56","2.97","0.00","0.00","0.00","0.00"
"m99125690470","2024-03-14","","2024-03-21","Sonny Angel - Animal Hipper (Sheep)","Completed","Missouri","New York","19.99","3.99","0.00","1.99","1.20","0.00","16.80","1.91","0.00","0.00","0.00","0.00"
